Id 	Name 	Group 	Rows 	Cols 	Nonzeros 	Kind 	Date 	Download File
2893 	AGATHA_2015 	Sybrandt 	183,964,077 	183,964,077 	11,588,725,964 	Undirected Graph 	2020 	
2810 	MOLIERE_2016 	Sybrandt 	30,239,687 	30,239,687 	6,669,254,694 	Undirected Weighted Graph 	2017 	
2856 	GAP-urand 	GAP 	134,217,728 	134,217,728 	4,294,966,740 	Random Undirected Weighted Graph 	2017 	
2855 	GAP-kron 	GAP 	134,217,726 	134,217,726 	4,223,264,644 	Random Undirected Weighted Graph 	2017 	
2780 	com-Friendster 	SNAP 	65,608,366 	65,608,366 	3,612,134,270 	Undirected Graph With Communities 	2012 	
2776 	mycielskian20 	Mycielski 	786,431 	786,431 	2,710,370,560 	Undirected Graph 	2018 	
2454 	sk-2005 	LAW 	50,636,154 	50,636,154 	1,949,412,601 	Directed Graph 	2005 	
2853 	GAP-web 	GAP 	50,636,151 	50,636,151 	1,930,292,948 	Directed Weighted Graph 	2017 	
2796 	twitter7 	SNAP 	41,652,230 	41,652,230 	1,468,365,182 	Directed Graph 	2010 	
2852 	GAP-twitter 	GAP 	61,578,415 	61,578,415 	1,468,364,884 	Directed Weighted Graph 	2017 	
2452 	it-2004 	LAW 	41,291,594 	41,291,594 	1,150,725,436 	Directed Graph 	2004 	
2449 	webbase-2001 	LAW 	118,142,155 	118,142,155 	1,019,903,190 	Directed Graph 	2004 	
2455 	uk-2005 	LAW 	39,459,925 	39,459,925 	936,364,282 	Directed Graph 	2005 	
2775 	mycielskian19 	Mycielski 	393,215 	393,215 	903,194,710 	Undirected Graph 	2018 	
1905 	nlpkkt240 	Schenk 	27,993,600 	27,993,600 	760,648,352 	Optimization Problem 	2008 	
2453 	arabic-2005 	LAW 	22,744,080 	22,744,080 	639,999,458 	Directed Graph 	2005 	
2804 	mawi_201512020330 	MAWI 	226,196,185 	226,196,185 	480,047,894 	Undirected Weighted Graph 	2015 	
2808 	kmer_V1r 	GenBank 	214,005,017 	214,005,017 	465,410,904 	Undirected Graph 	2015 	
1904 	nlpkkt200 	Schenk 	16,240,000 	16,240,000 	440,225,632 	Optimization Problem 	2008 	
2805 	kmer_A2a 	GenBank 	170,728,175 	170,728,175 	360,585,172 	Undirected Graph 	2015 	
2845 	stokes 	VLSI 	11,449,533 	11,449,533 	349,321,980 	Semiconductor Process Problem 	2018 	
2660 	Queen_4147 	Janna 	4,147,110 	4,147,110 	316,548,962 	2D/3D Problem 	2014 	
2774 	mycielskian18 	Mycielski 	196,607 	196,607 	300,933,832 	Undirected Graph 	2018 	
2450 	uk-2002 	LAW 	18,520,486 	18,520,486 	298,113,762 	Directed Graph 	2002 	
2806 	kmer_P1a 	GenBank 	139,353,211 	139,353,211 	297,829,984 	Undirected Graph 	2015 	
2384 	HV15R 	Fluorem 	2,017,169 	2,017,169 	283,073,458 	Computational Fluid Dynamics Problem 	2011 	
2803 	mawi_201512020130 	MAWI 	128,568,730 	128,568,730 	270,234,840 	Undirected Weighted Graph 	2015 	
2508 	rgg_n_2_24_s0 	DIMACS10 	16,777,216 	16,777,216 	265,114,400 	Undirected Random Graph 	2011 	
2782 	com-Orkut 	SNAP 	3,072,441 	3,072,441 	234,370,166 	Undirected Graph With Communities 	2012 	
1903 	nlpkkt160 	Schenk 	8,345,600 	8,345,600 	225,422,112 	Optimization Problem 	2008 	
2451 	indochina-2004 	LAW 	7,414,866 	7,414,866 	194,109,311 	Directed Graph 	2004 	
2494 	kron_g500-logn21 	DIMACS10 	2,097,152 	2,097,152 	182,082,942 	Undirected Multigraph 	2010 	
2802 	mawi_201512020030 	MAWI 	68,863,315 	68,863,315 	143,414,960 	Undirected Weighted Graph 	2015 	
2807 	kmer_U1a 	GenBank 	67,716,231 	67,716,231 	138,778,562 	Undirected Graph 	2015 	
2844 	vas_stokes_4M 	VLSI 	4,382,246 	4,382,246 	131,577,616 	Semiconductor Process Problem 	2018 	
2659 	Bump_2911 	Janna 	2,911,419 	2,911,419 	127,729,899 	2D/3D Problem 	2014 	
2507 	rgg_n_2_23_s0 	DIMACS10 	8,388,608 	8,388,608 	127,002,786 	Undirected Random Graph 	2011 	
2549 	Cube_Coup_dt6 	Janna 	2,164,760 	2,164,760 	124,406,070 	Structural Problem 	2012 	
2548 	Cube_Coup_dt0 	Janna 	2,164,760 	2,164,760 	124,406,070 	Structural Problem 	2012 	
2809 	kmer_V2a 	GenBank 	55,042,369 	55,042,369 	117,217,600 	Undirected Graph 	2015 	
2544 	Flan_1565 	Janna 	1,564,794 	1,564,794 	114,165,372 	Structural Problem 	2011 	
2447 	hollywood-2009 	LAW 	1,139,905 	1,139,905 	113,891,327 	Undirected Graph 	2009 	
2650 	ML_Geer 	Janna 	1,504,002 	1,504,002 	110,686,677 	Structural Problem 	2012 	
2511 	europe_osm 	DIMACS10 	50,912,018 	50,912,018 	108,109,320 	Undirected Graph 	2010 	
2479 	delaunay_n24 	DIMACS10 	16,777,216 	16,777,216 	100,663,202 	Undirected Graph 	2011 	
