Id 	Name 	Group 	Rows 	Cols 	Nonzeros 	Kind 	Date 	
2660 	Queen_4147 	Janna 	4,147,110 	4,147,110 	316,548,962 	2D/3D Problem 	2014 	
2384 	HV15R 	Fluorem 	2,017,169 	2,017,169 	283,073,458 	Computational Fluid Dynamics Problem 	2011 	
2508 	rgg_n_2_24_s0 	DIMACS10 	16,777,216 	16,777,216 	265,114,400 	Undirected Random Graph 	2011 	
2494 	kron_g500-logn21 	DIMACS10 	2,097,152 	2,097,152 	182,082,942 	Undirected Multigraph 	2010 	
2507 	rgg_n_2_23_s0 	DIMACS10 	8,388,608 	8,388,608 	127,002,786 	Undirected Random Graph 	2011 	
2548 	Cube_Coup_dt0 	Janna 	2,164,760 	2,164,760 	124,406,070 	Structural Problem 	2012 	
2549 	Cube_Coup_dt6 	Janna 	2,164,760 	2,164,760 	124,406,070 	Structural Problem 	2012 	
2544 	Flan_1565 	Janna 	1,564,794 	1,564,794 	114,165,372 	Structural Problem 	2011 	
2650 	ML_Geer 	Janna 	1,504,002 	1,504,002 	110,686,677 	Structural Problem 	2012 	
2511 	europe_osm 	DIMACS10 	50,912,018 	50,912,018 	108,109,320 	Undirected Graph 	2010 	
2479 	delaunay_n24 	DIMACS10 	16,777,216 	16,777,216 	100,663,202 	Undirected Graph 	2011 	
2493 	kron_g500-logn20 	DIMACS10 	1,048,576 	1,048,576 	89,239,674 	Undirected Multigraph 	2010 	
2496 	channel-500x100x100-b050 	DIMACS10 	4,802,000 	4,802,000 	85,362,744 	Undirected Graph 	2011 	
2550 	Long_Coup_dt0 	Janna 	1,470,152 	1,470,152 	84,422,970 	Structural Problem 	2012 	
2551 	Long_Coup_dt6 	Janna 	1,470,152 	1,470,152 	84,422,970 	Structural Problem 	2012 	
1252 	audikw_1 	GHS_psdef 	943,695 	943,695 	77,651,847 	Structural Problem 	2004 	
2541 	Serena 	Janna 	1,391,349 	1,391,349 	64,131,971 	Structural Problem 	2011 	
2482 	hugebubbles-00020 	DIMACS10 	21,198,119 	21,198,119 	63,580,358 	Undirected Graph 	2005 	
2506 	rgg_n_2_22_s0 	DIMACS10 	4,194,304 	4,194,304 	60,718,396 	Undirected Random Graph 	2011 	
